Date,SP500 Price,SOROS FUND MANAGEMENT LLC,PAULSON & CO.INC. ,TIGER GLOBAL MANAGEMENT LLC,BERKSHIRE HATHAWAY INC,Algo 1,Algo 2
2016-03-30,2063.95,-0.04283671120477946,-0.09002461167675999,0.08637960736699031,-0.07574841924100746,0.0052255977375808,0.0022427149215094
2016-03-31,2059.74,-0.03554504940577475,-0.09018630561029647,0.08259545881285621,-0.07278650938162146,0.0003746500985386,0.0014732271347425
2016-04-01,2072.78,-0.03313807886537455,-0.08389295025698629,0.09416814742814061,-0.05779742964384485,0.0005574117453371,0.0032062303838935
2016-04-04,2066.13,-0.03465967875273705,-0.07958775027711629,0.0893830714554038,-0.06490019007814045,-0.0024494255993998,-0.006787430105966
2016-04-05,2045.17,-0.04709512217526965,-0.10059998999943208,0.0810124787290139,-0.058324333473524254,0.0017663301258759,-0.0117650257665315
2016-04-06,2066.66,-0.027114410592184553,-0.07685928345759248,0.0902789314337615,-0.04195893154135255,-0.0087425090322584,0.0099411856106535
2016-04-07,2041.91,-0.027570547922680953,-0.06851641490779019,0.08682411097383301,-0.03026791918798475,-0.0026562950287479,-0.0081202826830981
2016-04-08,2047.6,-0.03226552240803906,-0.07599054714143748,0.0893887496620542,-0.03621297324846055,0.0168697867865968,0.0062339364179549
2016-04-11,2041.99,-0.04575867201548356,-0.08905583748862858,0.076040567511111,-0.03610525047855565,0.0058858109163937,-0.0007929947854438
2016-04-12,2061.72,-0.039978101759391156,-0.09474746887891058,0.0796647732118134,-0.01023451984760785,0.005309583235737,0.0066664892387963
2016-04-13,2082.42,-0.024800572205738856,-0.08811216718669049,0.0771767773143963,0.01749003643460775,0.0064917160751425,0.0123617248392405
2016-04-14,2082.78,-0.019591070636554356,-0.08833258262318858,0.0737204081852794,0.018091624443308675,0.0054543354865882,-0.0021402685178474
2016-04-15,2080.73,-0.023303358288213658,-0.07915952679310989,0.08019097140117809,0.028606379947360677,-0.0027129379457523,-0.00025965194785
2016-04-18,2094.34,-0.020455333320984752,-0.06962635546788339,0.0829990845456014,0.015589544588535576,-0.0060936418881152,0.0065406255354327
2016-04-19,2100.8,-0.016981377638868353,-0.05668882251734138,0.09074758961394659,-0.01808796459949052,-0.0097448427311928,0.0072985355822357
2016-04-20,2102.4,-0.009400132611282556,-0.05778055909979568,0.0893821292342056,-0.0040231683938395215,-0.001830937597153,0.004562949332735
2016-04-21,2091.48,-0.024171372378207757,-0.06255676047520088,0.06795927952580991,-0.01779331555328652,-0.0045800443401707,0.0017537052318377
2016-04-22,2091.58,-0.019010412780595256,-0.06166459974635219,0.0794502960612215,-0.01929679409774802,-0.0003039916950903,0.0062509704156745
2016-04-25,2087.79,-0.029647287582906655,-0.07871199219885358,0.0845287525214783,-0.03348535208391132,0.0134750143883967,-0.0076179432438779
2016-04-26,2091.7,-0.027032845445525457,-0.08249484444529508,0.0858898801890858,-0.05004226465969442,-0.0093913112831258,0.0078206085942549
2016-04-27,2095.15,-0.025739922417920356,-0.08142490241491318,0.08611221410835619,-0.059377923389745214,-0.0056632211212377,0.0028656771474023
2016-04-28,2075.81,-0.03530455863017746,-0.0961162854491261,0.0747239290488477,-0.05387341297220361,0.00735460080617,-0.0054544452584433
2016-04-29,2065.3,-0.038007762340093156,-0.10279873378921048,0.0706045661280395,-0.04216531540269702,-0.0074533337473948,-0.0034262434387628
2016-05-02,2081.43,-0.025865535635964054,-0.09528492257101227,0.0874171255693712,-0.03277821889183381,0.0081017846653448,-0.0012988737031672
2016-05-03,2063.37,-0.015504713887802656,-0.07933818933545649,0.09637390447770511,-0.005379004610924415,0.0068631580877143,-0.0152563366182582
2016-05-04,2051.12,-0.005724758214489656,-0.07855380408518568,0.1329499857017947,0.004792509808522987,-0.0061921595868074,-0.0047894078064861
2016-05-05,2050.63,0.025196126083029447,-0.06861203919968117,0.1880906641187475,0.043994032905451286,-0.0052071211756522,-0.0020879831860647
2016-05-06,2057.14,0.024450236413207246,-0.08745993212161877,0.2031436289247228,0.019564503616458388,-9.853589113956824e-05,0.0016411966947844
2016-05-09,2058.69,0.0019635651585208445,-0.08769435031478649,0.17655414730026028,-0.02805025930206971,0.0091585123088658,-0.0060760732726565
2016-05-10,2084.39,-0.012183834378530755,-0.08939913786340939,0.1777641874941179,-0.05305657210799871,0.0046888082699237,0.008893889995725
2016-05-11,2064.46,-0.024269494803769158,-0.09984771168984709,0.1694048637647972,-0.06572043206648921,-0.0057086617067723,-0.0032627526074714
2016-05-12,2064.11,-0.026692790335661958,-0.10604172213101169,0.1824063463839806,-0.06546510570123501,-0.020790350790003,-0.0057607711294667
2016-05-13,2046.61,-0.007712924585925455,-0.09360243625331409,0.2054036301353821,-0.027888074798927614,0.0007538905760972,-0.0052769229724595
2016-05-16,2066.66,-0.016091532105134657,-0.09108763614102888,0.2024331216419552,-0.025620127073648413,0.0057354077724107,0.0080088373022556
2016-05-17,2047.21,-0.023773387871222056,-0.08295793204358398,0.1646887052947615,-0.016449062046236612,0.0060453492036653,-0.0078211026856055
2016-05-18,2047.63,-0.012727107282270955,-0.07734431360024509,0.1694812987423709,0.027903303139808985,0.0021977345115262,-0.0024621638129523
2016-05-19,2040.04,-0.020685603874955057,-0.08602378868588649,0.18402434561053568,0.019403750156816384,-0.0034574099665753,-0.0053537292878991
2016-05-20,2052.32,-0.02881679347314006,-0.08323410430486448,0.1644707799912072,0.022869805191701183,0.0075014750332006,0.0106105216724591
2016-05-23,2048.04,-0.019086487125904855,-0.07781061711400378,0.17546427599418918,0.015001777359205484,-0.0027752634969968,0.0022372585522456
2016-05-24,2076.06,-0.009094669181909855,-0.06511685669083349,0.19070064242807,0.04518826581251949,-0.0029821456038511,0.0112760400753988
2016-05-25,2090.54,-0.007563217237324757,-0.06568138929253318,0.1944793293028797,0.042269536539773785,0.0004215370937513,0.0067110633804192
2016-05-26,2090.1,-0.0016276479310011562,-0.06141023097174079,0.1935841116648616,0.05536719620167278,0.0003004958792541,-0.0010977092118464
2016-05-27,2099.06,-0.0025790329428457565,-0.06383139186658378,0.18933713885762848,0.045176878757013386,-0.0012983707565441,0.0064131031240741
2016-05-31,2096.96,-0.009796577429985156,-0.06395837654173528,0.17657620004164068,0.009880413567051789,-0.0136083901921845,0.0038796704798214
2016-06-01,2099.33,-0.009966142725858256,-0.054994180732199985,0.1836633849894885,-0.0039935307708436115,-0.0018275759633398,0.0061127749455698
2016-06-02,2105.26,0.012860237942593644,-0.036916863302921085,0.2041500026395273,0.01515092605181759,-0.0068189073774382,0.0065737984898068
2016-06-03,2099.13,0.018229642203222342,-0.03105004837951399,0.1999464737985518,0.0060788240228076915,0.0199751943958823,-0.0057102056156095
2016-06-06,2109.41,0.03664987484868145,-0.01858512725530689,0.2101155133215762,0.03067298593349569,-0.0028576456583855,0.0121164364868339
2016-06-07,2112.13,0.04716143390785055,-0.012684348930741988,0.2071890198065295,0.030632316803374388,0.0087393947309129,0.0022995953542662
2016-06-08,2119.12,0.05380926220865404,-0.012649979364570588,0.22024267879231652,-0.002461070159836709,0.0010542306671034,0.0062697677384523
